Index	Score	Chemical_name	DrugBank_ID	Pubchem_ID	Uniprot_ID	Protein_Name	Gene_Name	Gene_ID	Confidence_Score	Source_database
8	-99.96	nor-binaltorphimine	NA	5480230	O00590	Atypical chemokine receptor 2 	ACKR2	1238	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P25106	Atypical chemokine receptor 3 	ACKR3	57007	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30542	Adenosine receptor A1	ADORA1	134	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P29274	Adenosine receptor A2a	ADORA2A	135	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P29275	Adenosine receptor A2b	ADORA2B	136	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35348	Alpha-1A adrenergic receptor 	ADRA1A	148	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35368	Alpha-1B adrenergic receptor 	ADRA1B	147	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P25100	Alpha-1D adrenergic receptor 	ADRA1D	146	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P08913	Alpha-2A adrenergic receptor 	ADRA2A	150	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P18089	Alpha-2B adrenergic receptor 	ADRA2B	151	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P18825	Alpha-2C adrenergic receptor 	ADRA2C	152	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P08588	Beta-1 adrenergic receptor 	ADRB1	153	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P07550	Beta-2 adrenergic receptor 	ADRB2	154	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P13945	Beta-3 adrenergic receptor 	ADRB3	155	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30556	Type-1 angiotensin II receptor 	AGTR1	185	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P50052	Type-2 angiotensin II receptor 	AGTR2	186	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35414	Apelin receptor 	APLNR	187	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P37288	Vasopressin V1a receptor 	AVPR1A	552	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P47901	Vasopressin V1b receptor 	AVPR1B	553	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30518	Vasopressin V2 receptor 	AVPR2	554	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P46663	B1 bradykinin receptor 	BDKRB1	623	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32247	Bombesin receptor subtype-3 	BRS3	680	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32238	Cholecystokinin receptor type A 	CCKAR	886	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32239	Gastrin/cholecystokinin type B receptor 	CCKBR	887	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32246	C-C chemokine receptor type 1 	CCR1	1230	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41597	C-C chemokine receptor type 2 	CCR2	729230	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P51677	C-C chemokine receptor type 3 	CCR3	1232	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P51679	C-C chemokine receptor type 4 	CCR4	1233	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P51681	C-C chemokine receptor type 5 	CCR5	1234	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P51686	C-C chemokine receptor type 9 	CCR9	10803	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P21554	Cannabinoid receptor 1 	CNR1	1268	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P34972	Cannabinoid receptor 2 	CNR2	1269	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P61073	C-X-C chemokine receptor type 4 	CXCR4	7852	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O00574	C-X-C chemokine receptor type 6 	CXCR6	10663	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P21728	Dopamine D1 receptor	DRD1	1812	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P14416	Dopamine D2 receptor	DRD2	1813	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35462	Dopamine D3 receptor	DRD3	1814	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P21918	Dopamine D5 receptor	DRD5	1816	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P25101	Endothelin-1 receptor 	EDNRA	1909	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P24530	Endothelin receptor type B 	EDNRB	1910	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q5NUL3	Free fatty acid receptor 4 	FFAR4	338557	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P47211	Galanin receptor type 1 	GALR1	2587	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O43603	Galanin receptor type 2 	GALR2	8811	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O60755	Galanin receptor type 3 	GALR3	8484	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q92847	Growth hormone secretagogue receptor type 1 	GHSR	2693	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30968	Gonadotropin-releasing hormone receptor 	GNRHR	2798	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96P88	Putative gonadotropin-releasing hormone II receptor 	GNRHR2	NA	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96P66	Probable G-protein coupled receptor 101	GPR101	83550	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8TDV5	Glucose-dependent insulinotropic receptor 	GPR119	139760	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P47775	G-protein coupled receptor 12	GPR12	2835	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8IZ08	Probable G-protein coupled receptor 135	GPR135	64582	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q6DWJ6	Probable G-protein coupled receptor 139 	GPR139	124274	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q7Z601	Probable G-protein coupled receptor 142 	GPR142	350383	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8TDV2	Probable G-protein coupled receptor 148 	GPR148	344561	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8NGU9	Probable G-protein coupled receptor 150	GPR150	285601	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8TDV0	Probable G-protein coupled receptor 151 	GPR151	134391	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8N6U8	G-protein coupled receptor 161 	GPR161	23432	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NS66	Probable G-protein coupled receptor 173 	GPR173	54328	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q14439	G-protein coupled receptor 176 	GPR176	11245	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q15760	Probable G-protein coupled receptor 19 	GPR19	2842	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q99679	Probable G-protein coupled receptor 21	GPR21	2844	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q99680	Probable G-protein coupled receptor 22	GPR22	2845	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8NDV2	G-protein coupled receptor 26	GPR26	2849	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NS67	Probable G-protein coupled receptor 27 	GPR27	2850	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P46089	G-protein coupled receptor 3 	GPR3	2827	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O15354	Prosaposin receptor GPR37 	GPR37	2861	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O60883	Prosaposin receptor GPR37L1 	GPR37L1	9283	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O43194	G-protein coupled receptor 39	GPR39	2863	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9Y5Y3	Probable G-protein coupled receptor 45 	GPR45	11250	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9Y2T5	G-protein coupled receptor 52	GPR52	9293	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P46095	G-protein coupled receptor 6 	GPR6	2830	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9BZJ8	Probable G-protein coupled receptor 61 	GPR61	83873	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9BZJ7	Probable G-protein coupled receptor 62 	GPR62	118442	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9BZJ6	Probable G-protein coupled receptor 63 	GPR63	81491	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8IYL9	Psychosine receptor 	GPR65	8477	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96P69	G-protein coupled receptor 78	GPR78	27201	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NYM4	Probable G-protein coupled receptor 83 	GPR83	10888	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NQS5	G-protein coupled receptor 84 	GPR84	53831	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P60893	Probable G-protein coupled receptor 85 	GPR85	54329	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9GZN0	Probable G-protein coupled receptor 88 	GPR88	54112	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30550	Gastrin-releasing peptide receptor 	GRPR	2925	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O43613	Orexin receptor type 1 	HCRTR1	3061	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O43614	Orexin receptor type 2 	HCRTR2	3062	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P25021	Histamine H2 receptor 	HRH2	3274	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9Y5N1	Histamine H3 receptor 	HRH3	11255	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9H3N8	Histamine H4 receptor 	HRH4	59340	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P08908	5-hydroxytryptamine receptor 1A 	HTR1A	3350	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28222	5-hydroxytryptamine receptor 1B 	HTR1B	3351	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28221	5-hydroxytryptamine receptor 1D 	HTR1D	3352	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28566	5-hydroxytryptamine receptor 1E 	HTR1E	3354	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30939	5-hydroxytryptamine receptor 1F 	HTR1F	3355	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28223	5-hydroxytryptamine receptor 2A 	HTR2A	3356	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P47898	5-hydroxytryptamine receptor 5A 	HTR5A	3361	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P50406	5-hydroxytryptamine receptor 6 	HTR6	3362	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P34969	5-hydroxytryptamine receptor 7 	HTR7	3363	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q969F8	KiSS-1 receptor 	KISS1R	84634	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q92633	Lysophosphatidic acid receptor 1 	LPAR1	1902	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9HBW0	Lysophosphatidic acid receptor 2 	LPAR2	9170	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9UBY5	Lysophosphatidic acid receptor 3 	LPAR3	23566	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P33241	Lymphocyte-specific protein 1 	LSP1	4046	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q15722	Leukotriene B4 receptor 1 	LTB4R	1241	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NPC1	Leukotriene B4 receptor 2 	LTB4R2	56413	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q01726	Melanocyte-stimulating hormone receptor 	MC1R	4157	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q01718	Adrenocorticotropic hormone receptor 	MC2R	4158	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41968	Melanocortin receptor 3 	MC3R	4159	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32245	Melanocortin receptor 4 	MC4R	4160	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P33032	Melanocortin receptor 5 	MC5R	4161	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q99705	Melanin-concentrating hormone receptor 1 	MCHR1	2847	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q969V1	Melanin-concentrating hormone receptor 2 	MCHR2	84539	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O43193	Motilin receptor 	MLNR	2862	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P28336	Neuromedin-B receptor 	NMBR	4829	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9HB89	Neuromedin-U receptor 1 	NMUR1	10316	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9GZQ4	Neuromedin-U receptor 2 	NMUR2	56923	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P48145	Neuropeptides B/W receptor type 1 	NPBWR1	2831	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P48146	Neuropeptides B/W receptor type 2 	NPBWR2	2832	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9GZQ6	Neuropeptide FF receptor 1 	NPFFR1	64106	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9Y5X5	Neuropeptide FF receptor 2 	NPFFR2	10886	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q6W5P4	Neuropeptide S receptor 	NPSR1	387129	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P25929	Neuropeptide Y receptor type 1 	NPY1R	4886	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P49146	Neuropeptide Y receptor type 2 	NPY2R	4887	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P50391	Neuropeptide Y receptor type 4 	NPY4R	100996758	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q15761	Neuropeptide Y receptor type 5 	NPY5R	4889	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30989	Neurotensin receptor type 1 	NTSR1	4923	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O95665	Neurotensin receptor type 2 	NTSR2	23620	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P04000	Long-wave-sensitive opsin 1 	OPN1LW	NA	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P04001	Medium-wave-sensitive opsin 1 	OPN1MW	101060233	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P03999	Short-wave-sensitive opsin 1 	OPN1SW	611	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9H1Y3	Opsin-3 	OPN3	23596	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9UHM6	Melanopsin 	OPN4	94233	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q6U736	Opsin-5 	OPN5	221391	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41143	Delta-type opioid receptor 	OPRD1	4985	0.964	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41145	Kappa-type opioid receptor 	OPRK1	4986	0.998	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P41146	Nociceptin receptor 	OPRL1	4987	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35372	Mu-type opioid receptor 	OPRM1	4988	0.963	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30559	Oxytocin receptor 	OXTR	5021	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P49683	Prolactin-releasing peptide receptor 	PRLHR	2834	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8TCW9	Prokineticin receptor 1 	PROKR1	10887	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8NFJ6	Prokineticin receptor 2 	PROKR2	128674	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q13258	Prostaglandin D2 receptor 	PTGDR	5729	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P34995	Prostaglandin E2 receptor EP1 subtype 	PTGER1	5731	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P43116	Prostaglandin E2 receptor EP2 subtype 	PTGER2	5732	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P43115	Prostaglandin E2 receptor EP3 subtype 	PTGER3	5733	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35408	Prostaglandin E2 receptor EP4 subtype 	PTGER4	5734	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P43088	Prostaglandin F2-alpha receptor 	PTGFR	5737	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P43119	Prostacyclin receptor 	PTGIR	5739	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96P65	Pyroglutamylated RFamide peptide receptor 	QRFPR	84109	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P47804	RPE-retinal G protein-coupled receptor	RGR	5995	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P08100	Rhodopsin 	RHO	6010	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O14718	Visual pigment-like receptor peropsin	RRH	10692	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9NSD7	Relaxin-3 receptor 1 	RXFP3	51289	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q8TDU9	Relaxin-3 receptor 2 	RXFP4	339403	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30872	Somatostatin receptor type 1 	SSTR1	6751	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P30874	Somatostatin receptor type 2 	SSTR2	6752	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P32745	Somatostatin receptor type 3 	SSTR3	6753	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P31391	Somatostatin receptor type 4 	SSTR4	6754	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P35346	Somatostatin receptor type 5 	SSTR5	6755	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96RJ0	Trace amine-associated receptor 1 	TAAR1	134864	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9P1P5	Trace amine-associated receptor 2 	TAAR2	9287	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	O14804	Trace amine-associated receptor 5 	TAAR5	9038	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q96RI8	Trace amine-associated receptor 6 	TAAR6	319100	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q969N4	Trace amine-associated receptor 8 	TAAR8	83551	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P21731	Thromboxane A2 receptor 	TBXA2R	6915	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	P34981	Thyrotropin-releasing hormone receptor 	TRHR	7201	0.409	STITCH
8	-99.96	nor-binaltorphimine	NA	5480230	Q9UKP6	Urotensin-2 receptor 	UTS2R	2837	0.409	STITCH
9	-99.95	PCA-4248	NA	4698	P25105	Platelet-activating factor receptor 	PTAFR	5724	0.609	STITCH
10	-99.95	Ketanserin	DB12465	3822	P28223	5-hydroxytryptamine receptor 2A	HTR2A	3356	1	DrugBank
10	-99.95	Ketanserin	DB12465	3822	P08913	Alpha-2A adrenergic receptor 	ADRA2A	150	0.637	STITCH
10	-99.95	Ketanserin	DB12465	3822	P18089	Alpha-2B adrenergic receptor 	ADRA2B	151	0.67	STITCH
10	-99.95	Ketanserin	DB12465	3822	P18825	Alpha-2C adrenergic receptor 	ADRA2C	152	0.637	STITCH
10	-99.95	Ketanserin	DB12465	3822	P21728	Dopamine D1 receptor	DRD1	1812	0.635	STITCH
10	-99.95	Ketanserin	DB12465	3822	P14416	Dopamine D2 receptor	DRD2	1813	0.595	STITCH
10	-99.95	Ketanserin	DB12465	3822	P21918	Dopamine D5 receptor	DRD5	1816	0.404	STITCH
10	-99.95	Ketanserin	DB12465	3822	P35367	Histamine H1 receptor 	HRH1	3269	0.679	STITCH
10	-99.95	Ketanserin	DB12465	3822	P28222	5-hydroxytryptamine receptor 1B 	HTR1B	3351	0.443	STITCH
10	-99.95	Ketanserin	DB12465	3822	P28221	5-hydroxytryptamine receptor 1D 	HTR1D	3352	0.622	STITCH
10	-99.95	Ketanserin	DB12465	3822	P30939	5-hydroxytryptamine receptor 1F 	HTR1F	3355	0.705	STITCH
10	-99.95	Ketanserin	DB12465	3822	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.802	STITCH
10	-99.95	Ketanserin	DB12465	3822	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.857	STITCH
10	-99.95	Ketanserin	DB12465	3822	P50406	5-hydroxytryptamine receptor 6 	HTR6	3362	0.609	STITCH
10	-99.95	Ketanserin	DB12465	3822	P34969	5-hydroxytryptamine receptor 7 	HTR7	3363	0.57	STITCH
10	-99.95	Ketanserin	DB12465	3822	Q99720	Sigma non-opioid intracellular receptor 1 	SIGMAR1	10280	0.693	STITCH
10	-99.95	Ketanserin	DB12465	3822	P0DMS9	Transmembrane domain-containing protein TMIGD3	TMIGD3	57413	0.809	STITCH
11	-99.94	Azelastine	DB00972	2267	P35367	Histamine H1 receptor	HRH1	3269	1	DrugBank
11	-99.94	Azelastine	DB00972	2267	P35348	Alpha-1A adrenergic receptor 	ADRA1A	148	0.483	STITCH
11	-99.94	Azelastine	DB00972	2267	P35368	Alpha-1B adrenergic receptor 	ADRA1B	147	0.483	STITCH
11	-99.94	Azelastine	DB00972	2267	Q12809	Potassium voltage-gated channel subfamily H member 2 	KCNH2	3757	0.487	STITCH
12	-99.93	Diethylstilbestrol	DB00255	448537	P10275	Androgen receptor	AR	367	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	P03372	Estrogen receptor	ESR1	2099	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	Q92731	Estrogen receptor beta	ESR2	2100	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	P11474	Steroid hormone receptor ERR1	ESRRA	2101	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	O95718	Steroid hormone receptor ERR2	ESRRB	2103	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	P62508	Estrogen-related receptor gamma	ESRRG	2104	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	Q15596	Nuclear receptor coactivator 2	NCOA2	10499	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	O75469	Nuclear receptor subfamily 1 group I member 2	NR1I2	8856	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	P04278	Sex hormone-binding globulin	SHBG	6462	1	DrugBank
12	-99.93	Diethylstilbestrol	DB00255	448537	P02766	Transthyretin 	TTR	7276	0.8	STITCH
13	-99.93	KI-16425	NA	10367662	Q92633	Lysophosphatidic acid receptor 1 	LPAR1	1902	0.582	STITCH
