Rank	Uniprot_ID	Num_Compounds	Protein_Name	Gene_Name	Gene_ID
34	P07947	7	Tyrosine-protein kinase Yes	YES1	7525
35	P28221	6	5-hydroxytryptamine receptor 1D 	HTR1D	3352
36	O75469	6	Nuclear receptor subfamily 1 group I member 2	NR1I2	8856
37	P09769	6	Tyrosine-protein kinase Fgr	FGR	2268
38	P10721	6	Mast/stem cell growth factor receptor Kit	KIT	3815
39	P06239	6	Tyrosine-protein kinase Lck	LCK	3932
40	P09619	6	Platelet-derived growth factor receptor beta	PDGFRB	5159
41	P29597	6	Non-receptor tyrosine-protein kinase TYK2	TYK2	7297
42	P23219	6	Prostaglandin G/H synthase 1	PTGS1	5742
43	P35354	6	Prostaglandin G/H synthase 2	PTGS2	5743
44	P21917	6	D(4) dopamine receptor	DRD4	1815
45	P10635	6	Cytochrome P450 2D6 	CYP2D6	1565
46	P28472	6	Gamma-aminobutyric acid receptor subunit beta-3	GABRB3	2562
47	P41143	5	Delta-type opioid receptor 	OPRD1	4985
48	P00519	5	Tyrosine-protein kinase ABL1	ABL1	25
49	P00533	5	Epidermal growth factor receptor	EGFR	1956
50	P36888	5	Receptor-type tyrosine-protein kinase FLT3	FLT3	2322
51	P23458	5	Tyrosine-protein kinase JAK1	JAK1	3716
52	O60674	5	Tyrosine-protein kinase JAK2	JAK2	3717
53	P52333	5	Tyrosine-protein kinase JAK3	JAK3	3718
54	Q13882	5	Protein-tyrosine kinase 6	PTK6	5753
55	P07949	5	Proto-oncogene tyrosine-protein kinase receptor Ret	RET	5979
56	P12931	5	Proto-oncogene tyrosine-protein kinase Src	SRC	6714
57	Q07912	5	Activated CDC42 kinase 1	TNK2	10188
58	P0DP23	5	Calmodulin	CALM1	801; 805; 808
59	P27338	5	Amine oxidase [flavin-containing] B	MAOB	4129
60	P14867	5	Gamma-aminobutyric acid receptor subunit alpha-1	GABRA1	2554
61	P18505	5	Gamma-aminobutyric acid receptor subunit beta-1	GABRB1	2560
62	P47870	5	Gamma-aminobutyric acid receptor subunit beta-2	GABRB2	2561
63	O14764	5	Gamma-aminobutyric acid receptor subunit delta	GABRD	2563
64	P78334	5	Gamma-aminobutyric acid receptor subunit epsilon	GABRE	2564
65	O00591	5	Gamma-aminobutyric acid receptor subunit pi	GABRP	2568
66	Q8TCU5	5	"Glutamate receptor ionotropic, NMDA 3A"	GRIN3A	116443
67	O00555	5	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	CACNA1A	773
68	O95264	5	5-hydroxytryptamine receptor 3B 	HTR3B	9177
69	P11511	5	Aromatase 	CYP19A1	1588
70	Q13936	4	Voltage-dependent L-type calcium channel subunit alpha-1C	CACNA1C	775
71	Q01668	4	Voltage-dependent L-type calcium channel subunit alpha-1D	CACNA1D	776
72	O60840	4	Voltage-dependent L-type calcium channel subunit alpha-1F	CACNA1F	778
73	Q13698	4	Voltage-dependent L-type calcium channel subunit alpha-1S	CACNA1S	779
74	Q08289	4	Voltage-dependent L-type calcium channel subunit beta-2	CACNB2	783
75	P25021	4	Histamine H2 receptor 	HRH2	3274
76	Q9H3N8	4	Histamine H4 receptor 	HRH4	59340
77	P28566	4	5-hydroxytryptamine receptor 1E 	HTR1E	3354
78	P30939	4	5-hydroxytryptamine receptor 1F 	HTR1F	3355
79	P35372	4	Mu-type opioid receptor 	OPRM1	4988
80	Q92731	4	Estrogen receptor beta	ESR2	2100
81	P04278	4	Sex hormone-binding globulin	SHBG	6462
82	P42685	4	Tyrosine-protein kinase FRK	FRK	2444
83	P06241	4	Tyrosine-protein kinase Fyn	FYN	2534
84	P08631	4	Tyrosine-protein kinase HCK	HCK	3055
85	Q9Y4K4	4	Mitogen-activated protein kinase kinase kinase kinase 5	MAP4K5	11183
86	P42345	4	Serine/threonine-protein kinase mTOR	MTOR	2475
87	O60285	4	NUAK family SNF1-like kinase 1	NUAK1	9891
88	O00329	4	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	PIK3CD	5293
89	P57059	4	Serine/threonine-protein kinase SIK1	SIK1	102724428; 150094
90	Q9H0K1	4	Serine/threonine-protein kinase SIK2	SIK2	23235
91	Q9H3Y6	4	Tyrosine-protein kinase Srms	SRMS	6725
92	Q9UHD2	4	Serine/threonine-protein kinase TBK1	TBK1	29110
93	P47869	4	Gamma-aminobutyric acid receptor subunit alpha-2	GABRA2	2555
94	P34903	4	Gamma-aminobutyric acid receptor subunit alpha-3	GABRA3	2556
95	P48169	4	Gamma-aminobutyric acid receptor subunit alpha-4	GABRA4	2557
96	P31644	4	Gamma-aminobutyric acid receptor subunit alpha-5	GABRA5	2558
97	Q16445	4	Gamma-aminobutyric acid receptor subunit alpha-6	GABRA6	2559
98	Q8N1C3	4	Gamma-aminobutyric acid receptor subunit gamma-1	GABRG1	2565
99	P18507	4	Gamma-aminobutyric acid receptor subunit gamma-2	GABRG2	2566
100	Q99928	4	Gamma-aminobutyric acid receptor subunit gamma-3	GABRG3	2567
101	Q9UN88	4	Gamma-aminobutyric acid receptor subunit theta	GABRQ	55879
102	P42338	4	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform "	PIK3CB	5291
103	Q12879	4	"Glutamate receptor ionotropic, NMDA 2A"	GRIN2A	2903
104	Q13224	4	"Glutamate receptor ionotropic, NMDA 2B"	GRIN2B	2904
105	P05177	4	Cytochrome P450 1A2 	CYP1A2	1544
106	P32297	4	Neuronal acetylcholine receptor subunit alpha-3	CHRNA3	1136
107	P43681	4	Neuronal acetylcholine receptor subunit alpha-4	CHRNA4	1137
108	P04150	4	Glucocorticoid receptor	NR3C1	2908
109	P06401	4	Progesterone receptor	PGR	5241
110	P08684	4	Cytochrome P450 3A4	CYP3A4	1576
111	P45984	3	Mitogen-activated protein kinase 9 	MAPK9	5601
112	P35869	3	Aryl hydrocarbon receptor	AHR	196
113	Q02641	3	Voltage-dependent L-type calcium channel subunit beta-1	CACNB1	782
114	P54284	3	Voltage-dependent L-type calcium channel subunit beta-3	CACNB3	784
115	O00305	3	Voltage-dependent L-type calcium channel subunit beta-4	CACNB4	785
116	P08235	3	Mineralocorticoid receptor	NR3C2	4306
117	P29274	3	Adenosine receptor A2a	ADORA2A	135
118	P29275	3	Adenosine receptor A2b	ADORA2B	136
119	P13945	3	Beta-3 adrenergic receptor 	ADRB3	155
120	P41145	3	Kappa-type opioid receptor 	OPRK1	4986
121	P02766	3	Transthyretin 	TTR	7276
122	P42684	3	Abelson tyrosine-protein kinase 2	ABL2	27
123	Q96GD4	3	Aurora kinase B	AURKB	9212
124	Q9UQB9	3	Aurora kinase C	AURKC	6795
125	P30530	3	Tyrosine-protein kinase receptor UFO	AXL	558
126	P51451	3	Tyrosine-protein kinase Blk	BLK	640
127	P51813	3	Cytoplasmic tyrosine-protein kinase BMX	BMX	660
128	P15056	3	Serine/threonine-protein kinase B-raf	BRAF	673
129	Q06187	3	Tyrosine-protein kinase BTK	BTK	695
130	P06493	3	Cyclin-dependent kinase 1	CDK1	983
131	P41240	3	Tyrosine-protein kinase CSK	CSK	1445
132	P19784	3	Casein kinase II subunit alpha'	CSNK2A2	1459
133	P53355	3	Death-associated protein kinase 1	DAPK1	1612
134	O43293	3	Death-associated protein kinase 3	DAPK3	1613
135	P19525	3	"Interferon-induced, double-stranded RNA-activated protein kinase"	EIF2AK2	5610
136	P29317	3	Ephrin type-A receptor 2	EPHA2	1969
137	Q15375	3	Ephrin type-A receptor 7	EPHA7	2045
138	P54762	3	Ephrin type-B receptor 1	EPHB1	2047
139	P54760	3	Ephrin type-B receptor 4	EPHB4	2050
140	O15197	3	Ephrin type-B receptor 6	EPHB6	2051
141	Q15303	3	Receptor tyrosine-protein kinase erbB-4	ERBB4	2066
142	P11362	3	Fibroblast growth factor receptor 1	FGFR1	2260
143	O14976	3	Cyclin-G-associated kinase	GAK	2580
144	O14920	3	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB	3551
145	Q08881	3	Tyrosine-protein kinase ITK/TSK	ITK	3702
146	P35968	3	Vascular endothelial growth factor receptor 2	KDR	3791
147	P53667	3	LIM domain kinase 1	LIMK1	3984
148	P07948	3	Tyrosine-protein kinase Lyn	LYN	4067
149	Q13163	3	Dual specificity mitogen-activated protein kinase kinase 5	MAP2K5	5607
150	Q16584	3	Mitogen-activated protein kinase kinase kinase 11	MAP3K11	4296
151	Q56UN5	3	Mitogen-activated protein kinase kinase kinase 19	MAP3K19	80122
152	O95819	3	Mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	9448
153	P27448	3	MAP/microtubule affinity-regulating kinase 3	MARK3	4140
154	P42679	3	Megakaryocyte-associated tyrosine-protein kinase	MATK	4145
155	Q9BUB5	3	MAP kinase-interacting serine/threonine-protein kinase 1	MKNK1	8569
156	Q8NG66	3	Serine/threonine-protein kinase Nek11	NEK11	79858
157	Q16288	3	NT-3 growth factor receptor	NTRK3	4916
158	O76074	3	"cGMP-specific 3',5'-cyclic phosphodiesterase"	PDE5A	8654
159	P16234	3	Platelet-derived growth factor receptor alpha	PDGFRA	5156
160	O00750	3	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	PIK3C2B	5287
161	O75747	3	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma	PIK3C2G	5288
162	P48736	3	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	PIK3CG	5294
163	P04049	3	RAF proto-oncogene serine/threonine-protein kinase	RAF1	5894
164	O43353	3	Receptor-interacting serine/threonine-protein kinase 2	RIPK2	8767
165	Q9Y2K2	3	Serine/threonine-protein kinase SIK3	SIK3	23387
166	O94804	3	Serine/threonine-protein kinase 10	STK10	6793
167	P42680	3	Tyrosine-protein kinase Tec	TEC	7006
168	P42681	3	Tyrosine-protein kinase TXK	TXK	7294
169	Q9NYL2	3	Mitogen-activated protein kinase kinase kinase MLT	ZAK	51776
170	P21397	3	Amine oxidase [flavin-containing] A	MAOA	4128
171	O60341	3	Lysine-specific histone demethylase 1A 	KDM1A	23028
172	Q8NB78	3	Lysine-specific histone demethylase 1B 	KDM1B	221656
173	Q14524	3	Sodium channel protein type 5 subunit alpha	SCN5A	6331
174	Q05586	3	"Glutamate receptor ionotropic, NMDA 1"	GRIN1	2902
175	Q14957	3	"Glutamate receptor ionotropic, NMDA 2C"	GRIN2C	2905
176	O15399	3	"Glutamate receptor ionotropic, NMDA 2D"	GRIN2D	2906
177	O60391	3	"Glutamate receptor ionotropic, NMDA 3B"	GRIN3B	116444
178	P02708	3	Acetylcholine receptor subunit alpha	CHRNA1	1134
179	Q9GZZ6	3	Neuronal acetylcholine receptor subunit alpha-10 	CHRNA10	57053
180	Q15822	3	Neuronal acetylcholine receptor subunit alpha-2	CHRNA2	1135
181	P30532	3	Neuronal acetylcholine receptor subunit alpha-5	CHRNA5	1138
182	Q15825	3	Neuronal acetylcholine receptor subunit alpha-6	CHRNA6	8973
183	P36544	3	Neuronal acetylcholine receptor subunit alpha-7	CHRNA7	1139
184	Q9UGM1	3	Neuronal acetylcholine receptor subunit alpha-9 	CHRNA9	55584
185	P11230	3	Acetylcholine receptor subunit beta	CHRNB1	1140
186	P17787	3	Neuronal acetylcholine receptor subunit beta-2	CHRNB2	1141
187	Q05901	3	Neuronal acetylcholine receptor subunit beta-3	CHRNB3	1142
188	P30926	3	Neuronal acetylcholine receptor subunit beta-4	CHRNB4	1143
189	Q07001	3	Acetylcholine receptor subunit delta	CHRND	1144
190	Q04844	3	Acetylcholine receptor subunit epsilon	CHRNE	1145
191	P07510	3	Acetylcholine receptor subunit gamma	CHRNG	1146
192	Q8WXA8	3	5-hydroxytryptamine receptor 3C 	HTR3C	170572
193	Q70Z44	3	5-hydroxytryptamine receptor 3D 	HTR3D	200909
194	A5X5Y0	3	5-hydroxytryptamine receptor 3E 	HTR3E	285242
195	Q00975	3	Voltage-dependent N-type calcium channel subunit alpha-1B	CACNA1B	774
196	O43497	3	Voltage-dependent T-type calcium channel subunit alpha-1G	CACNA1G	8913
197	O95180	3	Voltage-dependent T-type calcium channel subunit alpha-1H	CACNA1H	8912
198	Q9P0X4	3	Voltage-dependent T-type calcium channel subunit alpha-1I	CACNA1I	8911
199	P19099	3	"Cytochrome P450 11B2, mitochondrial"	CYP11B2	1585
200	P33261	3	Cytochrome P450 2C19	CYP2C19	1557
201	Q16696	3	Cytochrome P450 2A13 	CYP2A13	1553
202	P11509	3	Cytochrome P450 2A6 	CYP2A6	1548
203	P11712	3	Cytochrome P450 2C9 	CYP2C9	1559
204	P45983	2	Mitogen-activated protein kinase 8 	MAPK8	5599
205	P30542	2	Adenosine receptor A1	ADORA1	134
206	P30968	2	Gonadotropin-releasing hormone receptor 	GNRHR	2798
207	Q96P88	2	Putative gonadotropin-releasing hormone II receptor 	GNRHR2	NA
208	Q9Y5N1	2	Histamine H3 receptor 	HRH3	11255
209	P47898	2	5-hydroxytryptamine receptor 5A 	HTR5A	3361
210	Q92633	2	Lysophosphatidic acid receptor 1 	LPAR1	1902
211	Q9UBY5	2	Lysophosphatidic acid receptor 3 	LPAR3	23566
212	P34995	2	Prostaglandin E2 receptor EP1 subtype 	PTGER1	5731
213	P43116	2	Prostaglandin E2 receptor EP2 subtype 	PTGER2	5732
214	P43115	2	Prostaglandin E2 receptor EP3 subtype 	PTGER3	5733
215	P35408	2	Prostaglandin E2 receptor EP4 subtype 	PTGER4	5734
216	P43119	2	Prostacyclin receptor 	PTGIR	5739
217	Q96RJ0	2	Trace amine-associated receptor 1 	TAAR1	134864
218	P0DMS9	2	Transmembrane domain-containing protein TMIGD3	TMIGD3	57413
219	P11474	2	Steroid hormone receptor ERR1	ESRRA	2101
220	O95718	2	Steroid hormone receptor ERR2	ESRRB	2103
221	P62508	2	Estrogen-related receptor gamma	ESRRG	2104
222	Q15596	2	Nuclear receptor coactivator 2	NCOA2	10499
223	Q2M2I8	2	AP2-associated protein kinase 1	AAK1	22848
224	Q04771	2	Activin receptor type-1	ACVR1	90
225	Q9UM73	2	ALK tyrosine kinase receptor	ALK	238
226	O14965	2	Aurora kinase A	AURKA	6790
227	Q9NSY1	2	BMP-2-inducible protein kinase	BMP2K	55589
228	O00238	2	Bone morphogenetic protein receptor type-1B	BMPR1B	658
229	Q9UQM7	2	Calcium/calmodulin-dependent protein kinase type II subunit alpha	CAMK2A	815
230	Q96RR4	2	Calcium/calmodulin-dependent protein kinase kinase 2	CAMKK2	10645
231	P11802	2	Cyclin-dependent kinase 4	CDK4	1019
232	O14757	2	Serine/threonine-protein kinase Chk1	CHEK1	1111
233	O14578	2	Citron Rho-interacting kinase	CIT	11113
234	Q8NI60	2	"Atypical kinase COQ8A, mitochondrial"	COQ8A	56997
235	Q96D53	2	"Atypical kinase COQ8B, mitochondrial"	COQ8B	79934
236	P07333	2	Macrophage colony-stimulating factor 1 receptor	CSF1R	1436
237	P68400	2	Casein kinase II subunit alpha	CSNK2A1	1457
238	Q9UIK4	2	Death-associated protein kinase 2	DAPK2	23604
239	O15075	2	Serine/threonine-protein kinase DCLK1	DCLK1	9201
240	Q9C098	2	Serine/threonine-protein kinase DCLK3	DCLK3	85443
241	Q08345	2	Epithelial discoidin domain-containing receptor 1	DDR1	780
242	Q16832	2	Discoidin domain-containing receptor 2	DDR2	4921
243	Q9Y463	2	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	DYRK1B	9149
244	Q9P2K8	2	eIF-2-alpha kinase GCN2	EIF2AK4	440275
245	P21709	2	Ephrin type-A receptor 1	EPHA1	2041
246	P29320	2	Ephrin type-A receptor 3	EPHA3	2042
247	P54764	2	Ephrin type-A receptor 4	EPHA4	2043
248	P54756	2	Ephrin type-A receptor 5	EPHA5	2044
249	Q9UF33	2	Ephrin type-A receptor 6	EPHA6	285220
250	P29322	2	Ephrin type-A receptor 8	EPHA8	2046
251	P29323	2	Ephrin type-B receptor 2	EPHB2	2048
252	P04626	2	Receptor tyrosine-protein kinase erbB-2	ERBB2	2064
253	P22607	2	Fibroblast growth factor receptor 3	FGFR3	2261
254	P17948	2	Vascular endothelial growth factor receptor 1	FLT1	2321
255	P35916	2	Vascular endothelial growth factor receptor 3	FLT4	2324
256	P49840	2	Glycogen synthase kinase-3 alpha	GSK3A	2931
257	P49841	2	Glycogen synthase kinase-3 beta	GSK3B	2932
258	Q9H2X6	2	Homeodomain-interacting protein kinase 2	HIPK2	28996
259	Q14164	2	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	IKBKE	9641
260	P06213	2	Insulin receptor	INSR	3643
261	P51617	2	Interleukin-1 receptor-associated kinase 1	IRAK1	3654
262	Q9Y616	2	Interleukin-1 receptor-associated kinase 3	IRAK3	11213
263	P53671	2	LIM domain kinase 2	LIMK2	3985
264	P29376	2	Leukocyte tyrosine kinase receptor	LTK	4058
265	Q02779	2	Mitogen-activated protein kinase kinase kinase 10	MAP3K10	4294
266	Q9Y2U5	2	Mitogen-activated protein kinase kinase kinase 2	MAP3K2	10746
267	Q99759	2	Mitogen-activated protein kinase kinase kinase 3	MAP3K3	4215
268	P80192	2	Mitogen-activated protein kinase kinase kinase 9	MAP3K9	4293
269	Q12851	2	Mitogen-activated protein kinase kinase kinase kinase 2	MAP4K2	5871
270	P53779	2	Mitogen-activated protein kinase 10	MAPK10	5602
271	Q16539	2	Mitogen-activated protein kinase 14	MAPK14	1432
272	Q13164	2	Mitogen-activated protein kinase 7	MAPK7	5598
273	Q9P0L2	2	Serine/threonine-protein kinase MARK1	MARK1	4139
274	Q7KZI7	2	Serine/threonine-protein kinase MARK2	MARK2	2011
275	Q96L34	2	MAP/microtubule affinity-regulating kinase 4	MARK4	57787
276	P08581	2	Hepatocyte growth factor receptor	MET	4233
277	Q8N4C8	2	Misshapen-like kinase 1	MINK1	50488
278	Q9HBH9	2	MAP kinase-interacting serine/threonine-protein kinase 2	MKNK2	2872
279	O15146	2	"Muscle, skeletal receptor tyrosine-protein kinase"	MUSK	4593
280	Q86YV6	2	Myosin light chain kinase family member 4	MYLK4	340156
281	Q8TD19	2	Serine/threonine-protein kinase Nek9	NEK9	91754
282	Q16620	2	BDNF/NT-3 growth factors receptor	NTRK2	4915
283	Q9H093	2	NUAK family SNF1-like kinase 2	NUAK2	81788
284	Q86V86	2	Serine/threonine-protein kinase pim-3	PIM3	415116
285	P78356	2	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	PIP4K2B	8396
286	Q99640	2	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	PKMYT1	9088
287	Q16512	2	Serine/threonine-protein kinase N1	PKN1	5585
288	Q16513	2	Serine/threonine-protein kinase N2	PKN2	5586
289	P53350	2	Serine/threonine-protein kinase PLK1	PLK1	5347
290	O00444	2	Serine/threonine-protein kinase PLK4	PLK4	10733
291	Q13131	2	5'-AMP-activated protein kinase catalytic subunit alpha-1	PRKAA1	5562
292	P54646	2	5'-AMP-activated protein kinase catalytic subunit alpha-2	PRKAA2	5563
293	Q9Y478	2	5'-AMP-activated protein kinase subunit beta-1	PRKAB1	5564
294	O43741	2	5'-AMP-activated protein kinase subunit beta-2	PRKAB2	5565
295	P17612	2	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA	5566
296	P54619	2	5'-AMP-activated protein kinase subunit gamma-1	PRKAG1	5571
297	Q02156	2	Protein kinase C epsilon type	PRKCE	5581
298	Q05397	2	Focal adhesion kinase 1	PTK2	5747
299	Q14289	2	Protein-tyrosine kinase 2-beta	PTK2B	2185
300	Q9BRS2	2	Serine/threonine-protein kinase RIO1	RIOK1	83732
301	O14730	2	Serine/threonine-protein kinase RIO3	RIOK3	8780
302	O75116	2	Rho-associated protein kinase 2	ROCK2	9475
303	Q15418	2	Ribosomal protein S6 kinase alpha-1	RPS6KA1	6195
304	Q9UK32	2	Ribosomal protein S6 kinase alpha-6	RPS6KA6	27330
305	Q9H2G2	2	STE20-like serine/threonine-protein kinase	SLK	9748
306	Q9NRH2	2	SNF-related serine/threonine-protein kinase	SNRK	54861
307	O75716	2	Serine/threonine-protein kinase 16	STK16	8576
308	O94768	2	Serine/threonine-protein kinase 17B	STK17B	9262
309	Q9BYT3	2	Serine/threonine-protein kinase 33	STK33	65975
310	Q9NRP7	2	Serine/threonine-protein kinase 36	STK36	27148
311	P43405	2	Tyrosine-protein kinase SYK	SYK	6850
312	Q15569	2	Dual specificity testis-specific protein kinase 1	TESK1	7016
313	P36897	2	TGF-beta receptor type-1	TGFBR1	7046
314	O75385	2	Serine/threonine-protein kinase ULK1	ULK1	8408
315	Q8IYT8	2	Serine/threonine-protein kinase ULK2	ULK2	9706
316	Q6PHR2	2	Serine/threonine-protein kinase ULK3	ULK3	25989
317	O60885	2	Bromodomain-containing protein 4 	BRD4	23476
318	P04035	2	3-hydroxy-3-methylglutaryl-coenzyme A reductase	HMGCR	3156
319	P20648	2	Potassium-transporting ATPase alpha chain 1 	ATP4A	495
320	P00915	2	Carbonic anhydrase 1	CA1	759
321	P00918	2	Carbonic anhydrase 2	CA2	760
322	P07451	2	Carbonic anhydrase 3	CA3	761
323	P35498	2	Sodium channel protein type 1 subunit alpha	SCN1A	6323
324	O43570	2	Carbonic anhydrase 12 	CA12	771
325	Q8N1Q1	2	Carbonic anhydrase 13 	CA13	377677
326	P23280	2	Carbonic anhydrase 6 	CA6	765
327	P43166	2	Carbonic anhydrase 7 	CA7	766
328	Q16790	2	Carbonic anhydrase 9 	CA9	768
329	P80404	2	"4-aminobutyrate aminotransferase, mitochondrial"	ABAT	18
330	Q16853	2	Membrane primary amine oxidase	AOC3	8639
331	P63316	2	"Troponin C, slow skeletal and cardiac muscles"	TNNC1	7134
332	P12004	2	Proliferating cell nuclear antigen 	PCNA	5111
333	P22303	2	Acetylcholinesterase 	ACHE	43
334	Q9Y5Y9	2	Sodium channel protein type 10 subunit alpha	SCN10A	6336
335	Q9UI33	2	Sodium channel protein type 11 subunit alpha	SCN11A	11280
336	Q9NY46	2	Sodium channel protein type 3 subunit alpha	SCN3A	6328
337	Q9UQD0	2	Sodium channel protein type 8 subunit alpha	SCN8A	6334
338	Q15858	2	Sodium channel protein type 9 subunit alpha	SCN9A	6335
339	P31749	2	RAC-alpha serine/threonine-protein kinase 	AKT1	207
340	P42336	2	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform "	PIK3CA	5290
341	P27986	2	Phosphatidylinositol 3-kinase regulatory subunit alpha 	PIK3R1	5295
342	P30531	2	Sodium- and chloride-dependent GABA transporter 1 	SLC6A1	6529
343	P48066	2	Sodium- and chloride-dependent GABA transporter 3 	SLC6A11	6538
344	P48065	2	Sodium- and chloride-dependent betaine transporter 	SLC6A12	6539
345	Q9NSD5	2	Sodium- and chloride-dependent GABA transporter 2 	SLC6A13	6540
346	Q9UN76	2	Sodium- and chloride-dependent neutral and basic amino acid transporter B	SLC6A14	11254
347	Q9H2J7	2	Sodium-dependent neutral amino acid transporter B	SLC6A15	55117
348	Q9GZN6	2	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5 	SLC6A16	28968
349	Q9H1V8	2	Sodium-dependent neutral amino acid transporter SLC6A17 	SLC6A17	388662
350	Q96N87	2	Sodium-dependent neutral amino acid transporter B	SLC6A18	348932
351	Q695T7	2	Sodium-dependent neutral amino acid transporter B	SLC6A19	340024
352	Q9NP91	2	Sodium- and chloride-dependent transporter XTRP3 	SLC6A20	54716
353	Q9Y345	2	Sodium- and chloride-dependent glycine transporter 2 	SLC6A5	9152
354	P31641	2	Sodium- and chloride-dependent taurine transporter 	SLC6A6	6533
355	Q99884	2	Sodium-dependent proline transporter 	SLC6A7	6534
356	P48029	2	Sodium- and chloride-dependent creatine transporter 1 	SLC6A8	6535
357	P48067	2	Sodium- and chloride-dependent glycine transporter 1 	SLC6A9	6536
358	Q14994	2	Nuclear receptor subfamily 1 group I member 3	NR1I3	9970
359	Q13639	2	5-hydroxytryptamine receptor 4	HTR4	3360
360	P54289	2	Voltage-dependent calcium channel subunit alpha-2/delta-1	CACNA2D1	781
361	Q9NY47	2	Voltage-dependent calcium channel subunit alpha-2/delta-2	CACNA2D2	9254
362	P05108	2	"Cholesterol side-chain cleavage enzyme, mitochondrial "	CYP11A1	1583
363	P15538	2	"Cytochrome P450 11B1, mitochondrial "	CYP11B1	1584
364	P05093	2	"Steroid 17-alpha-hydroxylase/17,20 lyase "	CYP17A1	1586
365	P04798	2	Cytochrome P450 1A1 	CYP1A1	1543
366	Q16678	2	Cytochrome P450 1B1 	CYP1B1	1545
367	Q6UW02	2	Cytochrome P450 20A1 	CYP20A1	57404
368	P08686	2	Steroid 21-hydroxylase 	CYP21A2	1589
369	Q07973	2	"1,25-dihydroxyvitamin D"	CYP24A1	1591
370	O43174	2	Cytochrome P450 26A1 	CYP26A1	1592
371	Q9NR63	2	Cytochrome P450 26B1 	CYP26B1	56603
372	Q6V0L0	2	Cytochrome P450 26C1 	CYP26C1	340665
373	Q02318	2	"Sterol 26-hydroxylase, mitochondrial "	CYP27A1	1593
374	O15528	2	"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial "	CYP27B1	1594
375	Q4G0S4	2	Cytochrome P450 27C1 	CYP27C1	339761
376	P20853	2	Cytochrome P450 2A7 	CYP2A7	1549
377	P20813	2	Cytochrome P450 2B6	CYP2B6	1555
378	P33260	2	Cytochrome P450 2C18 	CYP2C18	1562
379	P10632	2	Cytochrome P450 2C8	CYP2C8	1558
380	P05181	2	Cytochrome P450 2E1 	CYP2E1	1571
